id,?column?,image
3027,النهايات والاستمرار - الجلسة 7,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/3027/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A8____D9____A1____D9____A9_____D9____A1____D9____A3____D9____A4____D9____A0____D9____A3____D9____A8_7303383401444778898.jpg
3028,النهايات والاستمرار - الجلسة 8,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/3028/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A8____D9____A1____D9____A9_____D9____A1____D9____A3____D9____A4____D9____A1____D9____A1____D9____A9_5292339308741146934.jpg
3026,النهايات والاستمرار ـ الجلسة 6,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/3026/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A8____D9____A1____D9____A9_____D9____A1____D9____A3____D9____A4____D9____A0____D9____A0____D9____A4_2173602670528676277.jpg
3025,النهايات والاستمرار - الجلسة 5,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/3025/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A8____D9____A1____D9____A9_____D9____A1____D9____A3____D9____A3____D9____A9____D9____A2____D9____A3_5676752229691065158.jpg
3038,النهايات والاستمرار - الجلسة 9,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/3038/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A8____D9____A2____D9____A1_____D9____A1____D9____A5____D9____A0____D9____A9____D9____A2____D9____A2_5726986393625347357.jpg
470,كتابي التابع اللوغاريتمي صيفي A,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/470/2025.07.27.01.12.55.208963.jpg
3057,النهايات والاستمرار _ الجلسة 10,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/3057/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A8____D9____A2____D9____A5_____D9____A1____D9____A7____D9____A1____D9____A6____D9____A5____D9____A7_5310383934013142445.jpg
3058,النهايات والاستمرار - الجلسة 11,https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Mathematics/3058/JPEG_____D9____A2____D9____A0____D9____A2____D9____A5____D9____A0____D9____A8____D9____A2____D9____A5_____D9____A1____D9____A7____D9____A1____D9____A8____D9____A0____D9____A1_6674957667580746917.jpg
3088,"١- دراسة أجهزة الدوران عند الأحياء ",https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Biology/3088/2025.08.28.11.01.40.050407.jpg
3098,٢- الاسفنجيات (المساميات),https://kckjiyqmxbrhsrbdlujw.supabase.co/storage/v1/object/public/tests/Biology/3098/2025.08.29.01.15.43.949629.jpg
